last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Gonzalez, Marwin,503556,2021,307,,
Darvish, Yu,506433,2021,55,,
Leon, Sandy,506702,2021,220,2.05,
Altuve, Jose,514888,2021,678,,
Hernandez, Cesar,514917,2021,637,,
Segura, Jean,516416,2021,567,,
Castro, Starlin,516770,2021,346,,
Marte, Starling,516782,2021,526,,
Bumgarner, Madison,518516,2021,52,,
Culberson, Charlie,518586,2021,271,,
d'Arnaud, Travis,518595,2021,229,2.05,
Donaldson, Josh,518626,2021,543,,
Freeman, Freddie,518692,2021,695,,
Grandal, Yasmani,518735,2021,375,2.06,
Heyward, Jason,518792,2021,353,,
Kelly, Merrill,518876,2021,58,,
LeMahieu, DJ,518934,2021,679,,
Moreland, Mitch,519048,2021,252,,
Moustakas, Mike,519058,2021,206,,
Rizzo, Anthony,519203,2021,576,,
Romine, Austin,519222,2021,62,2.06,
Sogard, Eric,519299,2021,180,,
Stanton, Giancarlo,519317,2021,579,,
Vogt, Stephen,519390,2021,238,2.09,
Galvis, Freddy,520471,2021,394,,
Perez, Salvador,521692,2021,665,1.97,
Flores, Wilmer,527038,2021,436,,
Garcia, Avisail,541645,2021,515,,
Inciarte, Ender,542255,2021,89,,
Ozuna, Marcell,542303,2021,208,,
Villar, Jonathan,542340,2021,505,,
Ortega, Rafael,542364,2021,330,,
Santana, Danny,542454,2021,127,,
Aguilar, Jesus,542583,2021,510,,
Berti, Jon,542932,2021,271,,
Crawford, Brandon,543063,2021,549,,
Cron, C.J.,543068,2021,547,,
DeSclafani, Anthony,543101,2021,62,,
Dickerson, Alex,543105,2021,312,,
Gomes, Yan,543228,2021,375,1.91,
Grossman, Robbie,543257,2021,671,,
Harrison, Josh,543281,2021,558,,
Hendricks, Kyle,543294,2021,61,,
Hicks, Aaron,543305,2021,126,,
Higashioka, Kyle,543309,2021,211,1.94,
Hosmer, Eric,543333,2021,565,,
McCann, James,543510,2021,412,2,
Miller, Brad,543543,2021,377,,
Nola, Austin,543592,2021,194,2.01,
Rendon, Anthony,543685,2021,249,,
Semien, Marcus,543760,2021,724,,
Shaw, Travis,543768,2021,250,,
Springer III, George,543807,2021,342,,
Vazquez, Christian,543877,2021,498,1.99,
Wong, Kolten,543939,2021,492,,
Gregorius, Didi,544369,2021,408,,
Garcia, Leury,544725,2021,474,,
Vargas, Ildemaro,545121,2021,83,,
Grichuk, Randal,545341,2021,545,,
Marisnick, Jake,545350,2021,198,,
Stassi, Max,545358,2021,319,2.01,
Trout, Mike,545361,2021,146,,
Herrera, Odubel,546318,2021,492,,
Alford, Anthony,546990,2021,148,,
Almora Jr., Albert,546991,2021,54,,
Ruiz, Rio,547004,2021,141,,
Harper, Bryce,547180,2021,599,,
Perez, Roberto,547379,2021,161,1.95,
Abreu, Jose,547989,2021,659,,
Diaz, Elias,553869,2021,371,1.94,
Narvaez, Omar,553882,2021,445,1.99,
Astudillo, Willians,553902,2021,216,2,
